1.193.22.227:8081,#genre#
CCTV-1,http://1.193.22.227:8081/hls/1/index.m3u8
CCTV-10,http://1.193.22.227:8081/hls/10/index.m3u8
CCTV-11,http://1.193.22.227:8081/hls/11/index.m3u8
CCTV-12,http://1.193.22.227:8081/hls/12/index.m3u8
CCTV-13,http://1.193.22.227:8081/hls/13/index.m3u8
CCTV-14,http://1.193.22.227:8081/hls/14/index.m3u8
CCTV-15,http://1.193.22.227:8081/hls/15/index.m3u8
CCTV-2,http://1.193.22.227:8081/hls/2/index.m3u8
CCTV-3,http://1.193.22.227:8081/hls/3/index.m3u8
CCTV-4,http://1.193.22.227:8081/hls/4/index.m3u8
CCTV-5,http://1.193.22.227:8081/hls/5/index.m3u8
CCTV-6,http://1.193.22.227:8081/hls/6/index.m3u8
CCTV-7,http://1.193.22.227:8081/hls/7/index.m3u8
CCTV-8,http://1.193.22.227:8081/hls/8/index.m3u8
CCTV-9,http://1.193.22.227:8081/hls/9/index.m3u8
东方卫视,http://1.193.22.227:8081/hls/24/index.m3u8
北京卫视,http://1.193.22.227:8081/hls/26/index.m3u8
天津卫视,http://1.193.22.227:8081/hls/39/index.m3u8
安徽卫视,http://1.193.22.227:8081/hls/30/index.m3u8
山东卫视,http://1.193.22.227:8081/hls/29/index.m3u8
广东卫视,http://1.193.22.227:8081/hls/27/index.m3u8
民生频道,http://1.193.22.227:8081/hls/18/index.m3u8
江苏卫视,http://1.193.22.227:8081/hls/25/index.m3u8
河南卫视,http://1.193.22.227:8081/hls/16/index.m3u8
法制频道,http://1.193.22.227:8081/hls/19/index.m3u8
浙江卫视,http://1.193.22.227:8081/hls/23/index.m3u8
湖北卫视,http://1.193.22.227:8081/hls/38/index.m3u8
湖南卫视,http://1.193.22.227:8081/hls/22/index.m3u8
电视频道,http://1.193.22.227:8081/hls/20/index.m3u8
辽宁卫视,http://1.193.22.227:8081/hls/31/index.m3u8
都市频道,http://1.193.22.227:8081/hls/17/index.m3u8
陕西卫视,http://1.193.22.227:8081/hls/32/index.m3u8
黑龙江卫视,http://1.193.22.227:8081/hls/28/index.m3u8

1.196.157.134:999,#genre#
CCTV-1,http://1.196.157.134:999/hls/1/index.m3u8
CCTV-2,http://1.196.157.134:999/hls/2/index.m3u8
CCTV-3,http://1.196.157.134:999/hls/3/index.m3u8
CCTV-4,http://1.196.157.134:999/hls/4/index.m3u8
CCTV-5,http://1.196.157.134:999/hls/5/index.m3u8
CCTV-6,http://1.196.157.134:999/hls/6/index.m3u8
CCTV-7,http://1.196.157.134:999/hls/7/index.m3u8
CCTV-8,http://1.196.157.134:999/hls/8/index.m3u8

1.196.157.147:999,#genre#
CCTV-1,http://1.196.157.147:999/hls/1/index.m3u8
CCTV-2,http://1.196.157.147:999/hls/2/index.m3u8
CCTV-3,http://1.196.157.147:999/hls/3/index.m3u8
CCTV-4,http://1.196.157.147:999/hls/4/index.m3u8
CCTV-5,http://1.196.157.147:999/hls/5/index.m3u8
CCTV-6,http://1.196.157.147:999/hls/6/index.m3u8
CCTV-7,http://1.196.157.147:999/hls/7/index.m3u8
CCTV-8,http://1.196.157.147:999/hls/8/index.m3u8

1.196.157.224:999,#genre#
CCTV-1,http://1.196.157.224:999/hls/1/index.m3u8
CCTV-2,http://1.196.157.224:999/hls/2/index.m3u8
CCTV-3,http://1.196.157.224:999/hls/3/index.m3u8
CCTV-4,http://1.196.157.224:999/hls/4/index.m3u8
CCTV-5,http://1.196.157.224:999/hls/5/index.m3u8
CCTV-6,http://1.196.157.224:999/hls/6/index.m3u8
CCTV-7,http://1.196.157.224:999/hls/7/index.m3u8
CCTV-8,http://1.196.157.224:999/hls/8/index.m3u8

1.196.182.198:60000,#genre#
CCTV-1,http://1.196.182.198:60000/hls/1/index.m3u8
CCTV-10,http://1.196.182.198:60000/hls/10/index.m3u8
CCTV-11,http://1.196.182.198:60000/hls/11/index.m3u8
CCTV-12,http://1.196.182.198:60000/hls/12/index.m3u8
CCTV-13,http://1.196.182.198:60000/hls/13/index.m3u8
CCTV-14,http://1.196.182.198:60000/hls/14/index.m3u8
CCTV-15,http://1.196.182.198:60000/hls/15/index.m3u8
CCTV-2,http://1.196.182.198:60000/hls/2/index.m3u8
CCTV-3,http://1.196.182.198:60000/hls/3/index.m3u8
CCTV-4,http://1.196.182.198:60000/hls/4/index.m3u8
CCTV-5,http://1.196.182.198:60000/hls/5/index.m3u8
CCTV-6,http://1.196.182.198:60000/hls/6/index.m3u8
CCTV-7,http://1.196.182.198:60000/hls/7/index.m3u8
CCTV-8,http://1.196.182.198:60000/hls/8/index.m3u8
CCTV-9,http://1.196.182.198:60000/hls/9/index.m3u8
东南卫视,http://1.196.182.198:60000/hls/39/index.m3u8
