1.31.14.70:54321,#genre#
2,http://144.0.23.37:8085/hls/2/index.m3u8
3,http://144.0.23.37:8085/hls/3/index.m3u8
4,http://144.0.23.37:8085/hls/4/index.m3u8
5,http://144.0.23.37:8085/hls/5/index.m3u8
6,http://144.0.23.37:8085/hls/6/index.m3u8
7,http://144.0.23.37:8085/hls/7/index.m3u8
8,http://144.0.23.37:8085/hls/8/index.m3u8
9,http://144.0.23.37:8085/hls/9/index.m3u8
10,http://144.0.23.37:8085/hls/10/index.m3u8
11,http://144.0.23.37:8085/hls/11/index.m3u8
12,http://144.0.23.37:8085/hls/12/index.m3u8
13,http://144.0.23.37:8085/hls/13/index.m3u8
14,http://144.0.23.37:8085/hls/14/index.m3u8

14.155.194.208:8088,#genre#
15,http://144.0.23.37:8085/hls/15/index.m3u8
16,http://144.0.23.37:8085/hls/16/index.m3u8
17,http://144.0.23.37:8085/hls/17/index.m3u8
18,http://144.0.23.37:8085/hls/18/index.m3u8
19,http://144.0.23.37:8085/hls/19/index.m3u8
20,http://144.0.23.37:8085/hls/20/index.m3u8
21,http://144.0.23.37:8085/hls/21/index.m3u8
22,http://144.0.23.37:8085/hls/22/index.m3u8
23,http://144.0.23.37:8085/hls/23/index.m3u8
24,http://144.0.23.37:8085/hls/24/index.m3u8

223.95.198.3:8000,#genre#
BNTV1,http://1.31.14.70:54321/hls/58/index.m3u8
BNTV2,http://1.31.14.70:54321/hls/57/index.m3u8
BNTV3,http://1.31.14.70:54321/hls/56/index.m3u8
BTV,http://114.252.247.9:10443/hls/34/index.m3u8
BTV体育,http://114.252.247.9:10443/hls/36/index.m3u8
BTV卡酷少儿,http://114.252.247.9:10443/hls/40/index.m3u8
BTV国际频道,http://114.252.247.9:10443/hls/38/index.m3u8
BTV少儿,http://114.252.121.120:8899/hls/21/index.m3u8
BTV文艺,http://114.252.247.9:10443/hls/32/index.m3u8
BTV新闻,http://114.252.247.9:10443/hls/39/index.m3u8
BTV生活,http://114.252.247.9:10443/hls/37/index.m3u8
BTV科教,http://114.252.247.9:10443/hls/33/index.m3u8
CCTC17农业,http://111.43.126.240:7777/hls/30/index.m3u8
CCTV-1,http://61.240.150.5:81/hls/1/index.m3u8
CCTV-2,http://61.240.150.5:81/hls/2/index.m3u8
CCTV-3,http://61.240.150.5:81/hls/3/index.m3u8
CCTV-4,http://61.240.150.5:81/hls/4/index.m3u8
CCTV-5,http://61.240.150.5:81/hls/5/index.m3u8
CCTV-6,http://61.240.150.5:81/hls/6/index.m3u8
CCTV-7,http://61.240.150.5:81/hls/7/index.m3u8
CCTV-8,http://61.240.150.5:81/hls/8/index.m3u8
CCTV-9,http://61.240.150.5:81/hls/9/index.m3u8
CCTV-10,http://61.240.150.5:81/hls/10/index.m3u8
