1.196.157.59:999,#genre#
CCTV-1,http://1.196.157.59:999/hls/1/index.m3u8
CCTV-2,http://1.196.157.59:999/hls/2/index.m3u8
CCTV-3,http://1.196.157.59:999/hls/3/index.m3u8
CCTV-4,http://1.196.157.59:999/hls/4/index.m3u8
CCTV-5,http://1.196.157.59:999/hls/5/index.m3u8
CCTV-6,http://1.196.157.59:999/hls/6/index.m3u8
CCTV-7,http://1.196.157.59:999/hls/7/index.m3u8
CCTV-8,http://1.196.157.59:999/hls/8/index.m3u8

1.24.39.180:808,#genre#
CCTV-1,http://1.24.39.180:808/hls/1/index.m3u8
CCTV-10,http://1.24.39.180:808/hls/10/index.m3u8
CCTV-11,http://1.24.39.180:808/hls/11/index.m3u8
CCTV-12,http://1.24.39.180:808/hls/12/index.m3u8
CCTV-13,http://1.24.39.180:808/hls/13/index.m3u8
CCTV-14,http://1.24.39.180:808/hls/14/index.m3u8
CCTV-15,http://1.24.39.180:808/hls/15/index.m3u8
CCTV-2,http://1.24.39.180:808/hls/2/index.m3u8
CCTV-3,http://1.24.39.180:808/hls/3/index.m3u8
CCTV-4,http://1.24.39.180:808/hls/4/index.m3u8
CCTV-5,http://1.24.39.180:808/hls/5/index.m3u8
CCTV-6,http://1.24.39.180:808/hls/6/index.m3u8
CCTV-7,http://1.24.39.180:808/hls/7/index.m3u8
CCTV-8,http://1.24.39.180:808/hls/8/index.m3u8
CCTV-9,http://1.24.39.180:808/hls/9/index.m3u8
乌兰察布新闻综合,http://1.24.39.180:808/hls/26/index.m3u8
乌兰察布经济生活,http://1.24.39.180:808/hls/24/index.m3u8
云南卫视,http://1.24.39.180:808/hls/36/index.m3u8
内蒙古农牧频道,http://1.24.39.180:808/hls/22/index.m3u8
内蒙古少儿频道,http://1.24.39.180:808/hls/23/index.m3u8
内蒙古文体娱乐,http://1.24.39.180:808/hls/21/index.m3u8
内蒙古新闻综合,http://1.24.39.180:808/hls/19/index.m3u8
内蒙古汉语卫视,http://1.24.39.180:808/hls/17/index.m3u8
内蒙古经济生活,http://1.24.39.180:808/hls/20/index.m3u8
内蒙古蒙语卫视,http://1.24.39.180:808/hls/16/index.m3u8
内蒙古蒙语文化,http://1.24.39.180:808/hls/18/index.m3u8
凉城频道,http://1.24.39.180:808/hls/27/index.m3u8
四川卫视,http://1.24.39.180:808/hls/39/index.m3u8
天津卫视,http://1.24.39.180:808/hls/33/index.m3u8
安徽卫视,http://1.24.39.180:808/hls/31/index.m3u8
山东卫视,http://1.24.39.180:808/hls/35/index.m3u8
江苏卫视,http://1.24.39.180:808/hls/30/index.m3u8
江西卫视,http://1.24.39.180:808/hls/40/index.m3u8
河南卫视,http://1.24.39.180:808/hls/37/index.m3u8
浙江卫视,http://1.24.39.180:808/hls/29/index.m3u8
深圳卫视,http://1.24.39.180:808/hls/34/index.m3u8
湖南卫视,http://1.24.39.180:808/hls/28/index.m3u8
贵州卫视,http://1.24.39.180:808/hls/32/index.m3u8
黑龙江卫视,http://1.24.39.180:808/hls/38/index.m3u8

1.31.14.70:54321,#genre#
CCTV-1,http://1.31.14.70:54321/hls/2/index.m3u8
CCTV-10,http://1.31.14.70:54321/hls/11/index.m3u8
CCTV-11,http://1.31.14.70:54321/hls/16/index.m3u8
CCTV-12,http://1.31.14.70:54321/hls/12/index.m3u8
CCTV-13,http://1.31.14.70:54321/hls/19/index.m3u8
CCTV-14,http://1.31.14.70:54321/hls/22/index.m3u8
CCTV-2,http://1.31.14.70:54321/hls/4/index.m3u8
CCTV-3,http://1.31.14.70:54321/hls/6/index.m3u8
CCTV-4,http://1.31.14.70:54321/hls/13/index.m3u8
CCTV-5,http://1.31.14.70:54321/hls/7/index.m3u8
CCTV-6,http://1.31.14.70:54321/hls/8/index.m3u8
CCTV-7,http://1.31.14.70:54321/hls/9/index.m3u8
CCTV-8,http://1.31.14.70:54321/hls/14/index.m3u8
CCTV-9,http://1.31.14.70:54321/hls/10/index.m3u8
CCTVNEWS,http://1.31.14.70:54321/hls/21/index.m3u8
BNTV1,http://1.31.14.70:54321/hls/58/index.m3u8
BNTV2,http://1.31.14.70:54321/hls/57/index.m3u8
BNTV3,http://1.31.14.70:54321/hls/56/index.m3u8
东方卫视,http://1.31.14.70:54321/hls/27/index.m3u8
云南卫视,http://1.31.14.70:54321/hls/37/index.m3u8
内蒙古卫视,http://1.31.14.70:54321/hls/55/index.m3u8
内蒙古蒙古语卫视,http://1.31.14.70:54321/hls/54/index.m3u8
内蒙古蒙古语文化,http://1.31.14.70:54321/hls/51/index.m3u8
农牧频道,http://1.31.14.70:54321/hls/49/index.m3u8
北京卫视,http://1.31.14.70:54321/hls/25/index.m3u8
卡酷动画,http://1.31.14.70:54321/hls/38/index.m3u8
吉林卫视,http://1.31.14.70:54321/hls/5/index.m3u8
四川卫视,http://1.31.14.70:54321/hls/41/index.m3u8
